# z rho mu
-16.3183 2.07e-06 0
-6.31829 2.07e-06 0
-6.31829 2.07001e-06 0
-4.98147 2.07001e-06 0
-4.98147 2.07072e-06 0
-3.90156 2.07072e-06 0
-3.90156 2.07574e-06 0
-3.18219 2.07574e-06 0
-3.18219 2.09119e-06 0
-2.62178 2.09119e-06 0
-2.62178 2.12297e-06 0
-2.15038 2.12297e-06 0
-2.15038 2.17492e-06 0
-1.7345 2.17492e-06 0
-1.7345 2.24831e-06 0
-1.35502 2.24831e-06 0
-1.35502 2.34192e-06 0
-0.999696 2.34192e-06 0
-0.999696 2.4525e-06 0
-0.659791 2.4525e-06 0
-0.659791 2.57523e-06 0
-0.328507 2.57523e-06 0
-0.328507 2.70429e-06 0
-1.88738e-15 2.70429e-06 0
-1.88738e-15 2.83335e-06 0
0.331284 2.83335e-06 0
0.331284 2.95609e-06 0
0.671188 2.95609e-06 0
0.671188 3.06667e-06 0
1.02652 3.06667e-06 0
1.02652 3.16028e-06 0
1.40599 3.16028e-06 0
1.40599 3.23367e-06 0
1.82188 3.23367e-06 0
1.82188 3.28562e-06 0
2.29327 3.28562e-06 0
2.29327 3.31739e-06 0
2.85368 3.31739e-06 0
2.85368 3.33285e-06 0
3.57305 3.33285e-06 0
3.57305 3.33787e-06 0
4.65296 3.33787e-06 0
4.65296 3.33858e-06 0
5.98978 3.33858e-06 0
5.98978 3.33859e-06 0
20.8203 3.33859e-06 0
20.8203 3.33859e-06 0
22.1571 3.33859e-06 0
22.1571 3.33885e-06 0
23.237 3.33885e-06 0
23.237 3.3407e-06 0
23.9564 3.3407e-06 0
23.9564 3.3464e-06 0
24.5168 3.3464e-06 0
24.5168 3.35811e-06 0
24.9882 3.35811e-06 0
24.9882 3.37726e-06 0
25.4041 3.37726e-06 0
25.4041 3.40431e-06 0
25.7835 3.40431e-06 0
25.7835 3.43882e-06 0
26.1389 3.43882e-06 0
26.1389 3.47958e-06 0
26.4788 3.47958e-06 0
26.4788 3.52482e-06 0
26.8101 3.52482e-06 0
26.8101 3.57239e-06 0
27.1386 3.57239e-06 0
27.1386 3.65476e-06 0
27.4244 3.65476e-06 0
27.4244 3.7201e-06 0
27.996 3.7201e-06 0
27.996 3.79401e-06 0
28.5677 3.79401e-06 0
28.5677 3.84678e-06 0
29.1393 3.84678e-06 0
29.1393 3.88012e-06 0
29.711 3.88012e-06 0
29.711 3.90054e-06 0
30.2826 3.90054e-06 0
30.2826 3.91452e-06 0
30.8542 3.91452e-06 0
30.8542 3.92621e-06 0
31.4259 3.92621e-06 0
31.4259 3.93754e-06 0
31.9975 3.93754e-06 0
31.9975 3.94918e-06 0
32.5692 3.94918e-06 0
32.5692 3.96133e-06 0
33.1408 3.96133e-06 0
33.1408 3.974e-06 0
33.7125 3.974e-06 0
33.7125 3.98717e-06 0
34.2841 3.98717e-06 0
34.2841 4.00081e-06 0
34.8557 4.00081e-06 0
34.8557 4.01488e-06 0
35.4274 4.01488e-06 0
35.4274 4.02934e-06 0
35.999 4.02934e-06 0
35.999 4.04415e-06 0
36.5707 4.04415e-06 0
36.5707 4.05924e-06 0
37.1423 4.05924e-06 0
37.1423 4.07457e-06 0
37.714 4.07457e-06 0
37.714 4.09009e-06 0
38.2856 4.09009e-06 0
38.2856 4.10572e-06 0
38.8572 4.10572e-06 0
38.8572 4.11749e-06 0
39.1431 4.11749e-06 0
39.1431 4.18555e-06 0
41.5233 4.18555e-06 0
41.5233 4.24655e-06 0
43.9655 4.24655e-06 0
43.9655 4.3015e-06 0
46.5186 4.3015e-06 0
46.5186 4.34802e-06 0
49.245 4.34802e-06 0
49.245 4.3845e-06 0
52.2332 4.3845e-06 0
52.2332 4.41031e-06 0
55.6201 4.41031e-06 0
55.6201 4.4261e-06 0
59.6466 4.4261e-06 0
59.6466 4.43379e-06 0
64.8153 4.43379e-06 0
64.8153 4.43628e-06 0
72.5744 4.43628e-06 0
72.5744 4.43663e-06 0
82.1795 4.43663e-06 0
82.1795 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.048 4.43664e-06 0
178.548 4.43664e-06 0
178.548 4.43663e-06 0
179.048 4.43663e-06 0
179.048 4.43663e-06 0
179.548 4.43663e-06 0
179.548 4.43663e-06 0
180.048 4.43663e-06 0
180.048 4.43663e-06 0
180.548 4.43663e-06 0
180.548 4.43662e-06 0
181.048 4.43662e-06 0
181.048 4.43662e-06 0
181.548 4.43662e-06 0
181.548 4.4366e-06 0
182.048 4.4366e-06 0
182.048 4.43657e-06 0
182.548 4.43657e-06 0
182.548 4.43652e-06 0
183.048 4.43652e-06 0
183.048 4.43644e-06 0
183.548 4.43644e-06 0
183.548 4.43631e-06 0
184.048 4.43631e-06 0
184.048 4.4361e-06 0
184.548 4.4361e-06 0
184.548 4.43683e-06 0
185.048 4.43683e-06 0
185.048 4.43566e-06 0
185.548 4.43566e-06 0
185.548 4.43458e-06 0
186.048 4.43458e-06 0
186.048 4.43323e-06 0
186.548 4.43323e-06 0
186.548 4.43133e-06 0
187.048 4.43133e-06 0
187.048 4.4286e-06 0
187.548 4.4286e-06 0
187.548 4.42465e-06 0
188.048 4.42465e-06 0
188.048 4.41906e-06 0
188.548 4.41906e-06 0
188.548 4.41124e-06 0
189.048 4.41124e-06 0
189.048 4.40051e-06 0
189.548 4.40051e-06 0
189.548 4.38601e-06 0
190.048 4.38601e-06 0
190.048 4.36675e-06 0
190.548 4.36675e-06 0
190.548 4.3416e-06 0
191.048 4.3416e-06 0
191.048 4.30932e-06 0
191.548 4.30932e-06 0
191.548 4.26859e-06 0
192.048 4.26859e-06 0
192.048 4.21804e-06 0
192.548 4.21804e-06 0
192.548 4.15639e-06 0
193.048 4.15639e-06 0
193.048 4.08246e-06 0
193.548 4.08246e-06 0
193.548 3.99531e-06 0
194.048 3.99531e-06 0
194.048 3.89433e-06 0
194.548 3.89433e-06 0
194.548 3.77928e-06 0
