# z rho mu
-10 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0.5 2.07e-06 0
0.5 2.07e-06 0
1 2.07e-06 0
1 2.07e-06 0
1.5 2.07e-06 0
1.5 2.07e-06 0
2 2.07e-06 0
2 2.07e-06 0
2.5 2.07e-06 0
2.5 2.07e-06 0
3 2.07e-06 0
3 2.07e-06 0
3.5 2.07e-06 0
3.5 2.07e-06 0
4 2.07e-06 0
4 2.07e-06 0
4.5 2.07e-06 0
4.5 2.07e-06 0
5 2.07e-06 0
5 2.07e-06 0
5.5 2.07e-06 0
5.5 2.07e-06 0
6 2.07e-06 0
6 2.07e-06 0
6.5 2.07e-06 0
6.5 2.07001e-06 0
7 2.07001e-06 0
7 2.07001e-06 0
7.5 2.07001e-06 0
7.5 2.07002e-06 0
8 2.07002e-06 0
8 2.07005e-06 0
8.5 2.07005e-06 0
8.5 2.07009e-06 0
9 2.07009e-06 0
9 2.07018e-06 0
9.5 2.07018e-06 0
9.5 2.07183e-06 0
10 2.07183e-06 0
10 2.07146e-06 0
10.5 2.07146e-06 0
10.5 2.07159e-06 0
11 2.07159e-06 0
11 2.07223e-06 0
11.5 2.07223e-06 0
11.5 2.07353e-06 0
12 2.07353e-06 0
12 2.07573e-06 0
12.5 2.07573e-06 0
12.5 2.07922e-06 0
13 2.07922e-06 0
13 2.08454e-06 0
13.5 2.08454e-06 0
13.5 2.0924e-06 0
14 2.0924e-06 0
14 2.10367e-06 0
14.5 2.10367e-06 0
14.5 2.1194e-06 0
15 2.1194e-06 0
15 2.14073e-06 0
15.5 2.14073e-06 0
15.5 2.16887e-06 0
16 2.16887e-06 0
16 2.20499e-06 0
16.5 2.20499e-06 0
16.5 2.25008e-06 0
17 2.25008e-06 0
