# Q dQ R dR fit
0.00877296 0.000101448 0.330052 0.0118376 1.33287
0.0100889 0.000116666 0.278708 0.00943223 1.27887
0.0114048 0.000131883 0.22962 0.00747845 1.22897
0.0127208 0.0001471 0.201109 0.00656351 1.18638
0.0140367 0.000162317 0.156201 0.00494767 1.15043
0.0153526 0.000177533 0.126011 0.00397696 1.12039
0.0166685 0.00019275 0.0971459 0.00297417 1.09551
0.0179845 0.000207967 0.078601 0.00241416 1.07511
0.0193004 0.000223183 0.0595067 0.00182114 1.05852
0.0206163 0.0002384 0.0449698 0.00131768 1.04515
0.0219322 0.000253616 0.035703 0.00116437 1.03453
0.0241253 0.000278976 0.0229811 0.000718874 1.02154
0.0263185 0.000304336 0.0139265 0.000443722 1.01296
0.0285116 0.000329695 0.00796794 0.000262295 1.0075
0.0307047 0.000355054 0.00426137 0.000150202 1.00417
0.0328977 0.000380412 0.00242663 9.40737e-05 1.00224
0.0350908 0.00040577 0.00121476 5.53795e-05 1.00119
0.0372838 0.000431127 0.000735107 3.77337e-05 1.00068
0.0394768 0.000456484 0.000532079 3.0029e-05 1.00047
0.0416698 0.00048184 0.000415812 2.43555e-05 1.0004
0.0438627 0.000507195 0.00045102 2.2655e-05 1.0004
0.0473713 0.000547762 0.000454293 2.15319e-05 1.00042
0.0508798 0.000588326 0.000399269 1.90501e-05 1.00039
0.0543882 0.000628889 0.000346984 1.65943e-05 1.00033
0.0578966 0.000669449 0.000269418 1.3596e-05 1.00026
0.0614048 0.000710006 0.000205311 1.12201e-05 1.00019
0.0649128 0.000750561 0.000143085 8.73758e-06 1.00014
0.0684208 0.000791114 0.000121409 7.67527e-06 1.00012
0.0719286 0.000831663 0.00011738 7.2842e-06 1.00011
0.0754363 0.000872209 0.000126803 7.28688e-06 1.0001
0.0789438 0.000912752 0.000114313 6.65358e-06 1.0001
0.0824512 0.000953291 0.000106651 6.22392e-06 1.00008
0.0859585 0.000993827 8.50444e-05 5.51889e-06 1.00006
0.087712 0.00101409 7.15197e-05 4.5203e-06 1.00005
0.091219 0.00105462 4.60564e-05 3.65918e-06 1.00003
0.0947258 0.00109515 2.20353e-05 2.79299e-06 1.00001
0.0982324 0.00113567 1.61473e-05 2.5921e-06 1.00001
0.101739 0.00117619 2.37567e-05 2.72724e-06 1.00001
0.105245 0.0012167 2.83495e-05 2.78596e-06 1.00002
0.108751 0.00125721 5.12095e-05 3.38333e-06 1.00003
0.112257 0.00129772 5.42548e-05 3.29711e-06 1.00004
0.115762 0.00133822 4.79106e-05 3.01616e-06 1.00003
0.119268 0.00137871 4.10372e-05 2.75069e-06 1.00002
0.122773 0.0014192 2.85314e-05 1.65236e-06 1.00001
0.126278 0.00145968 1.49385e-05 1.32354e-06 1
0.129782 0.00150016 7.4928e-06 1.21516e-06 0.999992
0.133287 0.00154063 5.32835e-06 1.15925e-06 0.999989
0.136791 0.0015811 7.83268e-06 1.17943e-06 0.999991
0.140295 0.00162156 1.09442e-05 1.20301e-06 0.999994
0.143798 0.00166202 1.37999e-05 1.2659e-06 0.999997
0.147302 0.00170247 1.36195e-05 1.24853e-06 0.999998
0.150805 0.00174291 1.25277e-05 1.23299e-06 0.999997
0.153432 0.00177324 1.06972e-05 1.15977e-06 0.999995
0.15781 0.00182377 7.84725e-06 1.11137e-06 0.999991
0.162187 0.0018743 2.66335e-06 1.02657e-06 0.999989
0.166564 0.00192482 2.34885e-06 1.00192e-06 0.999988
0.170941 0.00197532 4.54483e-06 1.0153e-06 0.999988
0.175317 0.00202581 4.93451e-06 1.01215e-06 0.999988
0.179693 0.00207629 3.2756e-06 9.66538e-07 0.999988
0.184068 0.00212676 3.48523e-06 9.65561e-07 0.999988
0.188442 0.00217722 4.23176e-06 9.64353e-07 0.999988
0.192816 0.00222766 4.70934e-06 9.51271e-07 0.999989
0.197189 0.0022781 5.02236e-06 9.27807e-07 0.999989
0.201562 0.00232851 3.96593e-06 9.17552e-07 0.999989
0.205934 0.00237892 3.59388e-06 9.13449e-07 0.999988
0.210305 0.00242931 4.21543e-06 8.94949e-07 0.999988
0.214676 0.00247968 4.1565e-06 8.92753e-07 0.999988
0.219046 0.00253004 3.71617e-06 8.80224e-07 0.999989
0.223416 0.00258039 5.43792e-06 7.15284e-07 0.999989
0.227785 0.00263072 6.46283e-06 7.15868e-07 0.999989
0.232153 0.00268104 5.61758e-06 7.13444e-07 0.999989
0.23652 0.00273134 4.67981e-06 6.83165e-07 0.999988
0.240887 0.00278162 4.72697e-06 6.83708e-07 0.999988
0.245253 0.00283189 4.51218e-06 6.76024e-07 0.999988
0.249618 0.00288214 5.04969e-06 6.71862e-07 0.999988
0.253982 0.00293238 4.91893e-06 6.60622e-07 0.999989
0.258346 0.00298259 4.62755e-06 6.60708e-07 0.999989
